,x,y,STATION_NAME,FILENAME,PROVINCE_CODE,min_date,max_date,mean_temp_coverage,max_temp_coverage,total_precipitation_coverage,direction_max_gust_coverage,speed_max_gust_coverage,min_rel_humiudity_coverage,max_rel_humiudity_coverage
73,-121.21694444444444,51.68138888888889,100 MILE HOUSE 6NE,station_1309_data.csv,BC,1987-06-01,2022-01-02,0.9749267339628785,0.9773689352002605,0.9972321719309671,0.0,0.0,0.0,0.0
74,-74.7489,45.01557833333333,CORNWALL,station_4255_data.csv,ON,1950-11-01,2022-01-07,0.9840454510078606,0.9841232780761149,0.9782862479570394,0.0,0.0,0.0,0.0
76,-112.81666666666666,53.05,CAMROSE,station_1839_data.csv,AB,1946-03-01,2022-01-08,0.9963859910581222,0.9969821162444114,0.9716467958271237,0.1873695976154992,0.1874441132637854,0.13543219076005963,0.13543219076005963
78,-123.62640833333332,48.646947222222224,SHAWNIGAN LAKE,station_97_data.csv,BC,1911-05-01,2022-01-09,0.9816170086084993,0.9820635590066734,0.9962291299709742,0.0,0.0,0.0,0.0
79,-119.77805555555555,51.57611111111111,VAVENBY,station_1340_data.csv,BC,1913-04-01,2022-01-09,0.9838660655488577,0.9882731371257788,0.9963527683501342,0.0,0.0,0.0,0.0
80,-114.10835833333331,53.54750166666667,EDMONTON STONY PLAIN,station_1870_data.csv,AB,1966-02-01,2022-01-08,0.9985803798707656,0.9988251419620129,0.9985314274525161,9.79048364989632e-05,9.79048364989632e-05,0.0,0.0
81,-137.05,61.03333333333333,OTTER FALLS NCPC,station_1583_data.csv,YT,1980-02-01,2022-01-08,0.9679282565739474,0.973172214622283,0.9916400668794649,0.0,0.0,0.0,0.0
82,-107.26333444444444,51.153890833333335,ROCK POINT,station_3142_data.csv,SK,1973-05-01,2022-01-08,0.9700254022015241,0.9703076488851256,0.9987016652554332,0.0,0.0,0.0,0.0
83,-117.6325,49.29638888888889,CASTLEGAR A,station_1105_data.csv,BC,1965-12-01,2022-01-07,0.9996068602879749,0.9997051452159811,0.9996068602879749,0.28556685832227624,0.28556685832227624,0.28404344193817876,0.28404344193817876
84,-95.19722222222222,49.62388888888889,INDIAN BAY,station_3746_data.csv,MB,1915-04-01,2022-01-08,0.9918762490591503,0.9951984219678683,0.9914869319214098,0.0,0.0,0.0,0.0
85,-63.833333333333336,44.766666666666666,POCKWOCK LAKE,station_6435_data.csv,NS,1979-01-01,2022-01-06,0.9873102198051212,0.9904071304479191,0.994863660397311,0.0,0.0,0.0,0.0
86,-133.05799972222223,54.25518,LANGARA,station_358_data.csv,BC,1936-07-01,2022-01-08,0.9842317800141016,0.9976283571565925,0.9983654893917057,0.1144477918082174,0.1144477918082174,0.001858855201589682,0.001858855201589682
87,-119.44511111111112,50.05613888888889,OKANAGAN CENTRE,station_1032_data.csv,BC,1925-03-01,2022-01-08,0.971805498803339,0.9744615025392563,0.9903099643920378,0.0,0.0,0.0,0.0
88,-101.20280555555556,49.926722222222224,ELKHORN 2 EAST,station_3460_data.csv,MB,1987-07-01,2022-01-02,0.951891447368421,0.9541940789473684,0.9944901315789474,0.0,0.0,0.0,0.0
89,-80.330305,43.734746666666666,FERGUS SHAND DAM,station_4760_data.csv,ON,1939-10-01,2022-01-09,0.9908858545772516,0.9936100087441986,0.9942153763368534,0.0,0.0,0.0,0.0
90,-112.78833611111112,49.87141388888889,PICTURE BUTTE WEST,station_2174_data.csv,AB,1987-06-01,2022-01-09,0.9597794649313087,0.967823571945047,0.9811099060014461,0.0,0.0,0.0,0.0
92,-102.57083333333334,50.36805555555556,BROADVIEW,station_2855_data.csv,SK,1965-02-01,2022-01-08,0.9961887302199923,0.9964781937475878,0.9918950212273253,0.748166730991895,0.7486009262832882,0.36318023928984944,0.36313199536858354
93,-73.43472222222222,45.809444444444445,L'ASSOMPTION,station_5237_data.csv,QC,1930-01-01,2022-01-08,0.9971012742315357,0.9977655655534754,0.9824264750286853,0.2636934597499849,0.26375384987016126,0.2212090102059303,0.22117881514584214
94,-104.48333333333332,58.083333333333336,CIGAR LAKE,station_3359_data.csv,SK,1987-06-01,2022-01-07,0.9782382590607248,0.9876790143211457,0.9899191935354829,0.0,0.0,0.0,0.0
96,-81.63613666666667,42.51446166666667,NEW GLASGOW,station_4656_data.csv,ON,1957-07-01,2022-01-08,0.9995696148052508,0.9996556918442006,0.9945341080266838,0.0,0.0,0.0,0.0
97,-99.94194666666668,50.65500166666666,WASAGAMING,station_3562_data.csv,MB,1966-03-01,2022-01-08,0.9819525065963061,0.987598944591029,0.980580474934037,0.2769920844327177,0.2769920844327177,0.18094986807387858,0.18079155672823222
98,-121.51472222222222,53.06916666666667,BARKERVILLE,station_568_data.csv,BC,1888-02-01,2022-01-04,0.9854360257326662,0.9858157612580415,0.9966047176554682,0.0,0.0,0.0,0.0
99,-113.63863611111113,50.00363055555555,CLARESHOLM,station_2224_data.csv,AB,1951-08-01,2022-01-08,0.9926614099461316,0.9935982512296042,0.9719728316027793,0.526739011632446,0.526739011632446,0.38394878600983684,0.38418299633070496
100,-57.95,48.95,CORNER BROOK,station_6610_data.csv,NL,1933-04-01,2022-01-08,0.9950731186844913,0.9954496956003264,0.9996861859034708,0.0,0.0,0.0,0.0
102,-116.98222222222222,51.299166666666665,GOLDEN A,station_1364_data.csv,BC,1902-04-01,2022-01-05,0.9924131350508506,0.9935767646442785,0.9629500337452582,0.0,0.0,0.0,0.0
103,-82.02472833333333,46.19308,MASSEY,station_4121_data.csv,ON,1983-06-01,2022-01-08,0.990650765606596,0.991902237926973,0.9966872791519434,0.0,0.0,0.0,0.0
106,-80.65,51.266666666666666,MOOSONEE UA,station_4168_data.csv,ON,1932-10-01,2022-01-08,0.9941938067271756,0.995628670581954,0.9971636412172985,0.1898024559530166,0.1899693005872931,0.00026695141484245344,0.00026695141484245344
107,-125.09722222222224,48.72277777777778,PACHENA POINT,station_262_data.csv,BC,1924-11-01,2022-01-08,0.9878935317687464,0.9908414424728106,0.9988265598168289,0.0,0.0,2.862049227247976e-05,2.862049227247976e-05
108,-76.90780333333333,44.40335833333334,CENTREVILLE,station_4898_data.csv,ON,1985-12-01,2022-01-06,0.9923711181320798,0.994682900516298,0.99915234645912,0.0,0.0,0.0,0.0
109,-79.10111111111111,46.70972222222223,BARRAGE TEMISCAMINGUE,station_5977_data.csv,QC,1910-04-01,2022-01-08,0.9638725796377264,0.9711680199875078,0.9786633354153654,0.20569643972517182,0.20569643972517182,0.1568019987507807,0.1567520299812617
110,-125.27305555555556,49.95194444444444,CAMPBELL RIVER A,station_145_data.csv,BC,1965-01-01,2022-01-08,0.9973368841544608,0.9980766385559994,0.9982245894363071,0.0,0.0,0.0,0.0
112,-117.2063888888889,49.58611111111111,NELSON NE,station_1137_data.csv,BC,1983-01-01,2022-01-08,0.971746785685038,0.9760871345508149,0.9910736221439685,0.0,0.0,0.0,0.0
113,-123.80889166666668,49.20891111111112,ENTRANCE ISLAND,station_132_data.csv,BC,1987-05-01,2022-01-08,0.988905325443787,0.9891826923076923,0.9968565088757396,0.0,0.0,0.0,0.0
114,-110.0725,53.30916666666667,LLOYDMINSTER A,station_1920_data.csv,AB,1982-04-01,2022-01-08,0.9999304783092324,0.9999304783092324,0.9999304783092324,0.553392658509455,0.5647942157953281,0.053879310344827624,0.053879310344827624
